"","week","yards","preds"
"113",11,24,0.953348248459041
"114",12,24,0.950960021936152
"115",13,24,0.948456145887937
"116",14,24,0.945831709428712
"117",15,24,0.943081664840283
"118",16,24,0.94020083157599
"119",17,24,0.937183901337525
"120",1,25,0.968594725802123
"121",2,25,0.966959956843067
"122",3,25,0.965243145256923
"123",4,25,0.963440498339109
"124",5,25,0.961548082488925
"125",6,25,0.959561821715984
"126",7,25,0.95747749660016
"127",8,25,0.955290743767815
"128",9,25,0.952997055951868
"129",10,25,0.950591782708053
"130",11,25,0.948070131864508
"131",12,25,0.945427171786576
"132",13,25,0.942657834543275
"133",14,25,0.939756920066227
"134",15,25,0.9367191013958
"135",16,25,0.933538931112772
"136",17,25,0.930210849056676
"137",1,26,0.964978207592742
"138",2,26,0.963162344223079
"139",3,26,0.961256109387211
"140",4,26,0.959255405626054
"141",5,26,0.957155991937666
"142",6,26,0.954953483336657
"143",7,26,0.952643351008005
"144",8,26,0.95022092312831
"145",9,26,0.947681386432384
"146",10,26,0.945019788607734
"147",11,26,0.94223104160407
"148",12,26,0.939309925949242
"149",13,26,0.936251096166945
"150",14,26,0.933049087394939
"151",15,26,0.929698323305351
"152",16,26,0.926193125430615
"153",17,26,0.922527723999654
"154",1,27,0.960962009283955
"155",2,27,0.95894676703591
"156",3,27,0.956832166032955
"157",4,27,0.954613799681283
"158",5,27,0.952287117636275
"159",6,27,0.949847426730525
"160",7,27,0.947289892659278
"161",8,27,0.944609542506563
"162",9,27,0.941801268199791
"163",10,27,0.938859830984859
"164",11,27,0.935779867017628
"165",12,27,0.932555894171002
"166",13,27,0.929182320159516
"167",14,27,0.925653452085221
"168",15,27,0.921963507509535
"169",16,27,0.918106627155437
"170",17,27,0.914076889342716
"171",1,28,0.95650600378891
"172",2,28,0.95427167721957
"173",3,28,0.951928339773711
"174",4,28,0.949471276977718
"175",5,28,0.946895633543993
"176",6,28,0.944196416030708
"177",7,28,0.94136849644357
"178",8,28,0.938406616872253
"179",9,28,0.935305395257878
"180",10,28,0.932059332391253
"181",11,28,0.928662820244083
"182",12,28,0.925110151737164
"183",13,28,0.921395532050249
"184",14,28,0.917513091577819
"185",15,28,0.913456900633071
"186",16,28,0.909220985998914
"187",17,28,0.904799349419331
"188",1,29,0.951567001285711
"189",2,29,0.949092457262548
"190",3,29,0.946498592016713
"191",4,29,0.943780391661457
"192",5,29,0.940932708385013
"193",6,29,0.937950265250515
"194",7,29,0.93482766214175
"195",8,29,0.931559382954839
"196",9,29,0.928139804138428
"197",10,29,0.924563204686543
"198",11,29,0.920823777688824
"199",12,29,0.916915643542177
"200",13,29,0.912832864925737
"201",14,29,0.908569463637235
"202",15,29,0.904119439383166
"203",16,29,0.899476790607295
"204",17,29,0.894635537431837
"205",1,30,0.94609875093931
"206",2,30,0.94336145181413
"207",3,30,0.940493886010667
"208",4,30,0.937490757699223
"209",5,30,0.934346648868
"210",6,30,0.931056026710554
"211",7,30,0.927613252377299
"212",8,30,0.924012591195389
"213",9,30,0.920248224461667
"214",10,30,0.916314262912491
"215",11,30,0.912204761971887
"216",12,30,0.907913738875374
"217",13,30,0.90343519176084
"218",14,30,0.898763120809618
"219",15,30,0.893891551510345
"220",16,30,0.888814560104944
"221",17,30,0.883526301259923
"222",1,31,0.940052011244521
"223",2,31,0.937028075739028
"224",3,31,0.933862336580783
"225",4,31,0.930549244457649
"226",5,31,0.927083145451749
"227",6,31,0.92345829148873
"228",7,31,0.919668852375766
"229",8,31,0.91570892953185
"230",9,31,0.911572571511326
"231",10,31,0.907253791417241
"232",11,31,0.902746586294798
"233",12,31,0.898044958586645
"234",13,31,0.893142939720764
"235",14,31,0.888034615888056
"236",15,31,0.882714156050167
"237",16,31,0.877175842198472
"238",17,31,0.871414101862202
"239",1,32,0.933374706370361
"240",2,32,0.930039016946655
"241",3,32,0.926549463810082
"242",4,32,0.922900285755666
"243",5,32,0.919085641409907
"244",6,32,0.915099623223816
"245",7,32,0.910936273274005
"246",8,32,0.906589600967603
"247",9,32,0.902053602740132
"248",10,32,0.897322283826606
"249",11,32,0.892389682174737
"250",12,32,0.887249894555051
"251",13,32,0.881897104905711
"252",14,32,0.87632561492974
"253",15,32,0.870529876938906
"254",16,32,0.864504528911776
"255",17,32,0.858244431703229
"256",1,33,0.926012187858824
"257",2,33,0.922338554150473
"258",3,33,0.918498571515913
"259",4,33,0.91448632379381
"260",5,33,0.910295846981562
"261",6,33,0.905921147233791
"262",7,33,0.901356220866454
"263",8,33,0.896595076445313
"264",9,33,0.891631759025692
"265",10,33,0.886460376595979
"266",11,33,0.881075128759858
"267",12,33,0.875470337671643
"268",13,33,0.869640481215192
"269",14,33,0.863580228389604
"270",15,33,0.857284476834119
"271",16,33,0.850748392390572
"272",17,33,0.84396745056425
"273",1,34,0.917907622619907
"274",2,34,0.913869011030524
"275",3,34,0.909651272348886
"276",4,34,0.905248409927417
"277",5,34,0.90065442045978
"278",6,34,0.895863316388221
"279",7,34,0.890869150471068
"280",8,34,0.885666042560418
"281",9,34,0.880248208622096
"282",10,34,0.8746099920089
"283",11,34,0.868745896973727
"284",12,34,0.862650624381379
"285",13,34,0.856319109546588
"286",14,34,0.849746562091171
"287",15,34,0.842928507675292
"288",16,34,0.835860831416884
"289",17,34,0.828539822769636
"290",1,35,0.909002529085705
"291",2,35,0.90457136876613
"292",3,35,0.899948181324449
"293",4,35,0.895126983632511
"294",5,35,0.890101836754575
"295",6,35,0.884866873059901
"296",7,35,0.879416325580694
"297",8,35,0.873744559622965
"298",9,35,0.867846106612944
"299",10,35,0.861715700133375
"300",11,35,0.855348314072256
"301",12,35,0.848739202771437
"302",13,35,0.841883943024106
"303",14,35,0.834778477728822
"304",15,35,0.827419160963755
"305",16,35,0.819802804198651
"306",17,35,0.811926723314425
"307",1,36,0.899237483285057
"308",2,36,0.8943860581892
"309",3,36,0.889329798168473
"310",4,36,0.88406284877037
"311",5,36,0.878579460805327
"312",6,36,0.87287402229481
"313",7,36,0.866941092649991
"314",8,36,0.860775439030802
"315",9,36,0.854372074802856
"316",10,36,0.847726299974093
"317",11,36,0.840833743454164
"318",12,36,0.833690406937763
"319",13,36,0.826292710168752
"320",14,36,0.818637537295556
"321",15,36,0.81072228398047
"322",16,36,0.80254490487715
"323",17,36,0.794103961042492
"324",1,37,0.888553015055875
"325",2,37,0.883253950434654
"326",3,37,0.877737595549724
"327",4,37,0.871998361907737
"328",5,37,0.8660308377237
"329",6,37,0.859829824600927
"330",7,37,0.853390376293487
"331",8,37,0.84670783942738
"332",9,37,0.839777896017339
"333",10,37,0.832596607573983
"334",11,37,0.825160460551327
"335",12,37,0.817466412837994
"336",13,37,0.809511940947559
"337",14,37,0.801295087515022
"338",15,37,0.792814508658486
"339",16,37,0.784069520718796
"340",17,37,0.775060145846336
"341",1,38,0.876890711154337
"342",2,38,0.87111756045022
"343",3,38,0.865115324597584
"344",4,38,0.85887884051621
"345",5,38,0.85240320326589
"346",6,38,0.845683807048456
"347",7,38,0.838716387977391
"348",8,38,0.831497068403183
"349",9,38,0.824022402537521
"350",10,38,0.81628942307259
"351",11,38,0.808295688443585
"352",12,38,0.80003933033424
"353",13,38,0.791519100977334
"354",14,38,0.782734419756195
"355",15,38,0.773685418570209
"356",16,38,0.764372985388672
"357",17,38,0.754798805384518
"358",1,39,0.864194536162849
"359",2,39,0.857922470597469
"360",3,39,0.851410540611735
"361",4,39,0.844654188946793
"362",5,39,0.837649206813471
"363",6,39,0.830391778430051
"364",7,39,0.822878526816327
"365",8,39,0.81510656053304
